TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,PRESSURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO
1008.0,0:1:27,39.0,F,SOff,0.42,N,N,N,27.5,952.9,7.71,0:1:7,0.0,0.0,-0.0,0.0,51.21,11.06,ST
1008.0,0:1:28,40.0,F,SOff,0.43,N,N,N,27.51,952.9,7.73,0:1:8,0.0,0.0,-0.0,0.0,9.47,2.54,ST
1008.0,0:1:29,41.0,F,SOff,0.41,N,N,N,27.53,952.9,7.73,0:1:9,0.0,0.0,-0.0,0.0,-3.03,6.72,ST
1008.0,0:1:30,42.0,F,SOff,0.39,N,N,N,27.55,952.91,7.73,0:1:10,0.0,0.0,-0.0,0.0,4.06,10.75,ST
1008.0,0:1:31,43.0,F,SOff,0.38,N,N,N,27.57,952.91,7.73,0:1:11,0.0,0.0,-0.0,0.0,-3.17,4.65,ST
1008.0,0:1:32,44.0,F,SOff,0.36,N,N,N,27.58,952.91,7.73,0:1:12,0.0,0.0,-0.0,0.0,0.61,-0.39,ST
1008.0,0:1:33,45.0,F,SOff,0.35,N,N,N,27.6,952.91,7.71,0:1:13,0.0,0.0,-0.0,0.0,0.74,4.5,ST
1008.0,0:1:34,46.0,F,SOff,0.32,N,N,N,27.61,952.91,7.73,0:1:14,0.0,0.0,-0.0,0.0,-0.0,3.28,ST
1008.0,0:1:35,47.0,F,SOff,0.3,N,N,N,27.63,952.92,7.73,0:1:15,0.0,0.0,-0.0,0.0,0.21,1.96,ST
1008.0,0:1:36,48.0,F,SOff,0.25,N,N,N,27.65,952.92,7.71,0:1:16,0.0,0.0,-0.0,0.0,1.04,3.43,ST
1008.0,0:1:37,49.0,F,SOff,0.24,N,N,N,27.66,952.92,7.71,0:1:17,0.0,0.0,-0.0,0.0,0.91,3.0,ST
1008.0,0:1:38,50.0,F,SOff,0.2,N,N,N,27.68,952.93,7.76,0:1:18,0.0,0.0,-0.0,0.0,0.37,2.61,ST
1008.0,0:1:39,51.0,F,SOff,0.18,N,N,N,27.7,952.93,7.73,0:1:19,0.0,0.0,-0.0,0.0,-5.18,3.23,ST
1008.0,0:1:40,52.0,F,SOff,0.18,N,N,N,27.72,952.93,7.73,0:1:20,0.0,0.0,-0.0,0.0,6.15,4.22,ST
1008.0,0:1:41,53.0,F,SOff,0.15,N,N,N,27.73,952.93,7.71,0:1:21,0.0,0.0,-0.0,0.0,1.12,2.32,ST
1008.0,0:1:42,54.0,F,SOff,0.15,N,N,N,27.75,952.93,7.73,0:1:22,0.0,0.0,-0.0,0.0,1.61,0.75,ST
1008.0,0:1:43,55.0,F,SOff,0.15,N,N,N,27.76,952.93,7.71,0:1:23,0.0,0.0,-0.0,0.0,3.0,3.48,ST
1008.0,0:1:44,56.0,F,SOff,0.13,N,N,N,27.78,952.94,7.73,0:1:24,0.0,0.0,-0.0,0.0,1.47,0.48,ST
1008.0,0:1:45,57.0,F,SOff,0.13,N,N,N,27.8,952.94,7.71,0:1:25,0.0,0.0,-0.0,0.0,1.18,2.11,ST
1008.0,0:1:46,58.0,F,SOff,0.12,N,N,N,27.82,952.94,7.73,0:1:26,0.0,0.0,-0.0,0.0,-0.64,1.61,ST
1008.0,0:1:47,59.0,F,SOff,0.02,N,N,N,27.84,952.95,7.67,0:1:27,0.0,0.0,-0.0,0.0,1.8,-0.73,ST
1008.0,0:1:48,60.0,F,SOff,-2.72,N,N,N,27.86,953.26,7.73,0:1:28,0.0,0.0,-0.0,0.0,2.84,3.0,ST
1008.0,0:1:49,61.0,F,SOff,-2.4,N,N,N,27.88,953.22,7.73,0:1:29,0.0,0.0,-0.0,0.0,-16.22,5.26,ST
1008.0,0:1:50,62.0,F,SOff,-2.1,N,N,N,27.9,953.19,7.73,0:1:30,0.0,0.0,-0.0,0.0,-19.22,1.67,ST
1008.0,0:1:51,63.0,F,SOff,-1.87,N,N,N,27.92,953.16,7.71,0:1:31,0.0,0.0,-0.0,0.0,-31.12,0.75,ST
1008.0,0:1:52,64.0,F,SOff,-1.58,N,N,N,27.94,953.13,7.71,0:1:32,0.0,0.0,-0.0,0.0,-30.41,3.7,ST
